pickup_borough,pickup_zone,total_trips,total_revenue,average_total_amount,median_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,average_tip_percentage,trip_share_percentage
Manhattan,Washington Heights North,395,13164.37,33.327518987341776,30.0,5.82167088607595,22.090084388185655,100.74676839499068,7.167329717917601,0.01377249580287549
Brooklyn,Flatlands,384,12382.62,32.24640625,29.0,7.009088541666667,43.44613715277777,14.634419449589911,0.6416788607451376,0.013388957945073892
Queens,Briarwood/Jamaica Hills,372,20007.0,53.78225806451613,45.485,8.93728494623656,28.31836917562724,36.24950775070325,5.936047254107234,0.012970553009290333
Bronx,Co-Op City,362,15943.14,44.041823204419885,44.0,10.486270718232046,46.604788213628,8.13959444542333,0.32088078006542803,0.0126218822294707
Brooklyn,East Flatbush/Farragut,358,10423.17,29.115,24.0,8.311899441340781,38.40418994413408,12.94570213378113,0.5721183808689048,0.012482413917542847
Brooklyn,Crown Heights South,343,10487.11,30.574664723032072,27.0,5.694081632653061,35.846598639455785,8.290368567075117,1.8890416722622778,0.011959407747813398
Brooklyn,Bay Ridge,340,14131.81,41.56414705882353,39.0,9.201176470588235,36.83906862745098,20.56488494678126,2.6241307059759413,0.011854806513867508
Brooklyn,Carroll Gardens,327,10018.08,30.63633027522936,28.54,255.4160244648318,19.192150866462793,10.786484243787665,13.945678879681743,0.011401534500101985
Brooklyn,Ocean Hill,324,10566.79,32.61354938271605,28.43,6.808055555555556,37.06759259259259,9.190430684593911,0.9807711530737286,0.011296933266156096
Bronx,East Concourse/Concourse Village,300,9533.89,31.779633333333333,29.5,6.527733333333333,38.844944444444444,10.941976422580714,0.6823835217943746,0.010460123394588978
Brooklyn,Prospect Heights,298,9192.29,30.846610738255038,25.895,4.970771812080537,25.323881431767337,16.190240566179646,11.621231578437243,0.010390389238625052
Queens,Saint Albans,295,12646.71,42.87020338983051,45.0,10.606508474576271,49.65209039548023,7.468665483329334,0.09590245221781463,0.010285788004679162
Brooklyn,Red Hook,282,15563.97,55.191382978723404,47.88,9.726666666666667,32.1539598108747,24.088886855312328,8.27038193701695,0.00983251599091364
Bronx,West Concourse,278,8344.31,30.0155035971223,25.259999999999998,5.598776978417266,29.48938848920863,20.59413282389563,2.0613137114547544,0.009693047678985786
Brooklyn,Coney Island,276,12679.65,45.94076086956522,47.0,11.95036231884058,56.99444444444445,22.096619106058476,0.2795951413309577,0.00962331352302186
Queens,Springfield Gardens North,274,11151.57,40.699160583941605,38.0,9.207883211678832,41.01338199513382,11.181399647006899,1.4678260459749448,0.009553579367057932
Queens,Kew Gardens,265,14730.289999999999,55.586,44.0,6.481622641509435,23.047547169811324,219.31818140443525,8.03260367934312,0.009239775665220263
Brooklyn,Bushwick North,261,8235.3,31.552873563218387,30.0,5.41,25.30485312899106,13.708846892838048,5.408680423688476,0.009100307353292411
Queens,Maspeth,248,12537.82,50.55572580645161,37.504999999999995,5.6127419354838715,20.095967741935485,28.005096713781395,18.20495786459165,0.008647035339526888
Bronx,Soundview/Castle Hill,248,8761.93,35.330362903225804,34.0,8.094395161290324,38.900201612903224,12.609811558462509,0.3518206122374724,0.008647035339526888
Queens,Far Rockaway,242,12936.36,53.45603305785124,51.805,14.47214876033058,64.31349862258953,7.615687575456738,0.0,0.008437832871635109
Bronx,Melrose South,241,7188.7699999999995,29.828921161825726,25.0,5.74746887966805,34.30926694329184,19.703126400575403,0.8668938398304057,0.008402965793653147
Bronx,Morrisania/Melrose,239,7884.32,32.98878661087866,33.0,6.49673640167364,38.02161785216178,12.922292438765666,0.08804495861414227,0.008333231637689219
Brooklyn,Starrett City,237,9505.52,40.10767932489452,35.0,8.773037974683545,44.450773558368496,9.461861952703602,0.14827341738857752,0.008263497481725293
Queens,Corona,236,11194.55,47.434533898305084,35.0,6.928093220338983,29.89915254237288,11.196742993874064,6.128578345634666,0.00822863040374333
Bronx,University Heights/Morris Heights,233,8217.64,35.26884120171673,34.0,7.785150214592275,37.182904148783976,13.99889300551757,0.7061122108459751,0.00812402916979744
Brooklyn,Midwood,223,7043.66,31.58591928251121,28.0,6.642914798206277,44.599999999999994,8.969196304254957,0.3439362720786805,0.007775358389977807
Brooklyn,East New York/Pennsylvania Avenue,221,7938.78,35.9220814479638,33.0,8.284117647058823,46.79057315233786,5.935288926061394,0.06620466022061193,0.007705624234013881
Queens,Queens Village,220,9551.38,43.41536363636363,47.0,11.059545454545454,43.57871212121213,7.42264111177628,0.8103839082274515,0.007670757156031917
Queens,Hammels/Arverne,216,10874.85,50.34652777777778,49.2,13.486851851851851,60.761805555555554,6.057398303982537,0.4713975800899124,0.007531288844104064
Manhattan,Inwood,215,7650.88,35.585488372093025,30.96,7.229860465116279,32.12186046511628,28.98554198230686,2.986404379478846,0.0074964217661221
Queens,Flushing,211,8218.94,38.95232227488152,37.0,8.050189573459715,34.680331753554505,32.263507221621865,3.147525242925249,0.007356953454194248
Queens,Rego Park,206,8777.64,42.60990291262136,34.0,6.299611650485437,26.919660194174757,98.53676271131052,6.275807283341037,0.007182618064284431
Brooklyn,Borough Park,203,6752.45,33.26330049261084,29.0,6.831330049261084,43.7871921182266,18.766918488404926,1.1032675263523437,0.007078016830338542
Bronx,Parkchester,202,7274.5199999999995,36.01247524752475,36.0,8.04990099009901,40.37425742574258,11.3789987440117,0.272749642439536,0.007043149752356579
Brooklyn,Sheepshead Bay,194,8313.62,42.85371134020619,45.0,10.191958762886598,53.23651202749141,11.421151063827885,0.13954481752385337,0.006764213128500873
Bronx,Williamsbridge/Olinville,191,7948.7699999999995,41.616596858638744,39.94,9.965549738219895,44.1349040139616,9.125738005510943,1.5256237027216806,0.006659611894554983
Brooklyn,Marine Park/Mill Basin,188,7707.56,40.99765957446809,30.5,8.995851063829788,44.028900709219855,8.560256143405017,1.9339855936807402,0.0065550106606090935
Brooklyn,Sunset Park West,183,7451.7699999999995,40.72005464480874,39.0,8.550273224043716,35.257012750455374,29.05687688658917,4.75512877058172,0.006380675270699277
Queens,Ridgewood,182,5869.37,32.24928571428571,28.165,5.549065934065934,27.33910256410256,12.209581919933566,4.389092522405571,0.006345808192717314
Bronx,Mount Hope,177,5508.38,31.120790960451977,29.0,6.460677966101695,34.56544256120527,9.012782916514922,0.2638012224888331,0.0061714728028074975
Bronx,East Tremont,175,6039.3,34.510285714285715,31.0,7.641485714285714,40.02066666666667,7.943559969954432,0.3023571091831468,0.006101738646843571
Brooklyn,Erasmus,174,5583.43,32.08867816091954,26.0,6.104367816091955,38.997030651341,72.91413252973734,0.7281742395049188,0.006066871568861608
Brooklyn,Cypress Hills,173,6075.07,35.11601156069364,32.0,7.377861271676301,38.68709055876686,43.14233924650126,4.3533977449800405,0.006032004490879644
Bronx,Van Nest/Morris Park,170,5874.56,34.55623529411765,29.0,7.4860588235294125,37.36411764705882,8.891449351429399,0.830578641313802,0.005927403256933754
Queens,Rosedale,170,7944.96,46.735058823529414,42.0,10.123882352941177,38.63127450980392,16.075285428695867,1.9047265445888644,0.005927403256933754
Bronx,Bedford Park,162,6566.17,40.531913580246915,43.5,9.5,41.98168724279836,8.370518917111697,0.5565415876764704,0.005648466633078048
Queens,Hillcrest/Pomonok,161,5160.45,32.05248447204969,31.0,6.518447204968944,32.866252587991724,11.698752186335897,2.66118645572177,0.005613599555096085
Bronx,Claremont/Bathgate,153,5199.54,33.98392156862745,33.0,7.0350326797385625,37.91132897603486,11.333378741913254,0.2073634445855192,0.005334662931240379
