dropoff_borough,dropoff_zone,total_trips,total_revenue,average_total_amount,median_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,average_tip_percentage,trip_share_percentage
Brooklyn,Madison,457,29390.22,64.3112035010941,66.45,13.555142231947483,37.547082421590076,5.445073328981904,7.627122618180354,0.01593425463775721
Bronx,Van Nest/Morris Park,434,21798.58,50.22714285714286,48.67,10.265529953917051,37.44543010752688,7.006943115651356,4.181064813489109,0.015132311844172054
Bronx,Highbridge,433,20432.35,47.1878752886836,43.0,9.18256351039261,28.360315627405697,30.336560177943234,3.928174093097755,0.01509744476619009
Bronx,Morrisania/Melrose,422,19868.15,47.080924170616115,43.900000000000006,9.248317535545024,32.870537124802524,6.862419122019414,3.788792064002759,0.014713906908388495
Bronx,Mount Hope,416,22321.84,53.65826923076923,48.4,10.812259615384615,33.74258814102564,6.307016622626307,3.3592919679654845,0.014504704440496716
Bronx,University Heights/Morris Heights,413,21780.85,52.738135593220335,46.5,10.884261501210654,34.997538337368844,6.215800094637706,3.016051964858147,0.014400103206550826
Bronx,Van Cortlandt Village,410,27150.44,66.22058536585365,62.295,13.897829268292682,35.55589430894309,5.580441089032165,7.067903044800928,0.014295501972604936
Brooklyn,Brighton Beach,401,25614.75,63.87718204488778,65.06,14.518852867830425,40.10016625103907,6.348701079994146,5.532327692570897,0.013981698270767269
Bronx,Schuylerville/Edgewater Park,398,25368.02,63.738743718592964,63.489999999999995,12.919899497487437,31.084045226130655,5.435650271696675,7.034312905055505,0.013877097036821379
Bronx,Norwood,380,22671.77,59.66255263157895,59.05,12.61342105263158,36.42364035087719,6.482655049501757,5.35678289252776,0.01324948963314604
Brooklyn,Dyker Heights,371,25571.97,68.92714285714285,73.1,14.050107816711591,36.42044025157233,6.213526498410227,9.948754669138703,0.01293568593130837
Bronx,Bedford Park,367,22448.66,61.16801089918256,60.94,12.825040871934604,37.129654859218896,5.912794045953292,3.6319011388010467,0.012796217619380518
