pickup_borough,pickup_zone,dropoff_borough,dropoff_zone,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile
Manhattan,Midtown Center,Manhattan,Chinatown,210,7304.22,34.782000000000004,4.406761904761905,25.05230158730159,8.12365220229171
Manhattan,Manhattan Valley,Manhattan,Clinton West,210,5192.15,24.72452380952381,3.206952380952381,13.216349206349207,7.864413774740719
Manhattan,Yorkville West,Manhattan,Flatiron,210,7063.88,33.63752380952381,4.39352380952381,23.19452380952381,7.7071210366867104
Manhattan,Financial District South,Manhattan,East Chelsea,209,6517.17,31.18263157894737,4.0695693779904305,20.317703349282294,18.153489657979673
Manhattan,Little Italy/NoLiTa,Manhattan,Upper West Side South,208,8432.1,40.53894230769231,5.628846153846154,27.049679487179485,7.262279695227587
Manhattan,Clinton East,Unknown,Outside of NYC,208,21021.75,101.06610576923077,13.49951923076923,28.75328525641026,12.142322213067482
Manhattan,Garment District,Manhattan,Two Bridges/Seward Park,208,6513.54,31.315096153846152,4.17375,21.12411858974359,7.603386343595558
Manhattan,Lower East Side,Manhattan,Midtown North,207,6828.69,32.98884057971014,4.085458937198068,22.895732689210952,8.157898168723879
Manhattan,West Village,Manhattan,Morningside Heights,207,8880.79,42.90236714975846,6.77280193236715,26.206843800322062,6.363828796694509
Manhattan,Little Italy/NoLiTa,Manhattan,Chinatown,207,3153.9900000000002,15.236666666666668,0.8410628019323672,7.257971014492754,21.244213518994407
Manhattan,Penn Station/Madison Sq West,Manhattan,East Harlem North,206,7965.2300000000005,38.66616504854369,5.597864077669903,26.94668284789644,7.06247424885689
Manhattan,Kips Bay,Manhattan,East Harlem South,206,6109.08,29.655728155339805,4.088592233009709,19.39045307443366,7.324702047232653
Manhattan,Financial District North,Manhattan,UN/Turtle Bay South,206,6414.13,31.136553398058254,4.8448543689320385,14.042233009708736,6.431193019256369
Manhattan,Upper West Side North,Manhattan,Kips Bay,205,7522.41,36.694682926829266,4.905463414634147,25.302764227642275,7.559187974365377
Manhattan,Union Sq,Manhattan,Seaport,205,5860.46,28.58760975609756,3.306243902439024,18.411951219512193,9.03279920904175
Manhattan,World Trade Center,Manhattan,Greenwich Village North,205,4782.77,23.33058536585366,2.2640975609756095,14.668943089430893,10.558630923674528
Queens,East Elmhurst,Manhattan,UN/Turtle Bay South,205,13035.37,63.587170731707324,9.008926829268292,21.25747967479675,7.094051683625082
Manhattan,Clinton East,Manhattan,Hudson Sq,205,5363.04,26.161170731707315,3.091024390243902,16.757967479674797,8.658066419375187
Manhattan,Meatpacking/West Village West,Queens,JFK Airport,204,19379.23,94.99622549019608,22.422058823529415,56.045833333333334,4.44195545591894
Queens,JFK Airport,Queens,Bayside,204,13580.96,66.57333333333332,14.039803921568627,24.921895424836602,4.744657471787333
Manhattan,World Trade Center,Manhattan,Financial District South,204,3071.92,15.05843137254902,0.8860784313725489,7.320179738562091,21.860438392323235
Queens,East Elmhurst,Manhattan,Upper East Side South,203,13484.71,66.42714285714285,9.236354679802956,27.575862068965517,7.198564359655473
Manhattan,Lenox Hill East,Manhattan,Seaport,203,7252.82,35.72817733990148,6.022857142857143,16.880459770114943,5.940985166788105
Manhattan,Yorkville East,Manhattan,Central Harlem,203,4876.39,24.021625615763547,2.702315270935961,14.687356321839081,8.981340623572542
Manhattan,World Trade Center,Manhattan,Two Bridges/Seward Park,203,4489.53,22.11591133004926,2.19,13.598440065681444,10.865850339792825
Manhattan,TriBeCa/Civic Center,Manhattan,Clinton West,203,5991.15,29.513054187192118,3.7928078817733994,18.837602627257798,7.808791383038939
Manhattan,Upper West Side South,Manhattan,Greenwich Village South,203,7586.01,37.369507389162564,4.965172413793103,27.18579638752053,7.630720249427462
Manhattan,Lenox Hill West,Unknown,Unknown,203,4439.29,21.868423645320195,1.820591133004926,11.261822660098522,62.53997418164693
Manhattan,Battery Park City,Manhattan,Garment District,203,6553.85,32.28497536945813,4.18615763546798,21.320197044334975,7.854305126018688
Manhattan,Little Italy/NoLiTa,Manhattan,Lenox Hill East,202,6905.29,34.18460396039604,4.747178217821782,22.07549504950495,7.275864626070681
