pickup_day_of_week,pickup_day_name,pickup_hour,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration
4,Friday,16,24946,768388.31,30.802064860097815,3.4096520484245967,17.544671156364412
4,Friday,17,27224,781160.07,28.693802159858947,3.0399309432853365,15.925181824860418
4,Friday,18,28155,769684.66,27.337405789380217,2.8617698454981353,14.330681347303615
4,Friday,19,25905,718077.57,27.719651418645046,2.9684852345107124,13.908868300842823
4,Friday,20,20625,550100.85,26.671556363636363,3.133716363636364,13.76434585858586
4,Friday,21,21368,578369.16,27.067070385623364,3.236341257955822,14.048120242106577
4,Friday,22,23385,628283.54,26.86694633311952,3.1736241180243745,14.358503314090228
4,Friday,23,21078,559097.86,26.525185501470727,3.2555123825789924,14.003203972546414
5,Saturday,0,17808,443303.67,24.89351246630728,3.0176325247079965,12.836560347409405
5,Saturday,1,13730,315675.38,22.991651857246904,2.660681718863802,11.57382495751396
5,Saturday,2,9862,220620.38999999998,22.37075542486311,2.6260352869600485,11.16878422226729
5,Saturday,3,5807,140233.22,24.148996039262958,3.051723781642845,11.373144480799036
5,Saturday,4,3016,85211.78,28.25324270557029,4.009370026525199,12.519269451812557
5,Saturday,5,1529,63415.53,41.475166775670374,6.954846304774362,15.827752343579682
5,Saturday,6,2763,91014.56,32.9404849800941,5.315707564241766,13.33443720593558
5,Saturday,7,4510,137052.43,30.388565410199554,4.7039135254988915,12.530432372505544
5,Saturday,8,7848,207502.84,26.440219164118247,14.158436544342509,11.643476044852191
5,Saturday,9,12243,298383.95,24.37180021236625,3.21095401453892,11.432267418116474
5,Saturday,10,15998,367865.17,22.994447430928865,2.8361751468933614,11.581038254781848
5,Saturday,11,19084,439168.34,23.012384196185288,2.7156549989520014,12.0972952909942
5,Saturday,12,23042,532995.67,23.131484680149295,2.6520584150681366,12.69108439660909
5,Saturday,13,23251,572184.13,24.609011655412672,2.8635555459980218,13.901919630696888
5,Saturday,14,23546,601648.21,25.552034740507942,4.765481610464622,14.618552337268893
5,Saturday,15,25102,648360.47,25.829036331766392,4.528826388335591,15.296997583193903
5,Saturday,16,26940,702059.0599999999,26.06009873793615,3.008175946547884,15.778098861667905
5,Saturday,17,26529,673796.63,25.39849334690339,2.855051076180783,15.865989420382725
5,Saturday,18,27031,671848.2,24.854729754726055,2.7171155340164996,15.371252759177734
5,Saturday,19,26033,650914.8,25.003449467982946,2.7703192102331657,15.054372015006594
5,Saturday,20,20858,542494.07,26.00892079777543,2.978785597852143,14.309243455748394
5,Saturday,21,22257,580777.67,26.094157793053874,3.02918317832592,14.113565020742536
5,Saturday,22,24097,633456.26,26.287764452006474,3.096027721293107,14.239239324397229
5,Saturday,23,24039,635006.48,26.415677856816007,3.250494196929989,14.00005962533106
6,Sunday,0,19787,495894.4,25.061626320311316,3.064986101986152,12.847279358501373
6,Sunday,1,15594,359970.29,23.083897011671155,2.681531999486982,11.784429908939336
6,Sunday,2,11502,259790.86,22.5865814640932,2.6292123109024517,11.309944647307715
6,Sunday,3,7203,166668.28,23.138731084270443,2.80399416909621,11.0329237817576
6,Sunday,4,3672,98877.41,26.927399237472766,3.7334504357298472,12.00221042120552
6,Sunday,5,1554,63903.81,41.122142857142855,6.818893178893179,15.291752466752468
6,Sunday,6,2473,91356.68,36.941641730691465,6.25268095430651,14.46647122253673
6,Sunday,7,4020,133557.8,33.22333333333333,14.702057213930349,12.982860696517413
6,Sunday,8,6370,173118.61,27.177175824175823,3.905954474097331,11.550954997383569
6,Sunday,9,10126,259981.77,25.674676081374677,3.516425044440055,11.239051287115675
6,Sunday,10,14872,360929.19,24.269041823561054,3.139478214093599,11.214237045006275
6,Sunday,11,18280,433204.79,23.698292669584244,6.883325492341357,11.568954230488695
6,Sunday,12,20643,505953.24,24.50967591919779,2.962292786901129,12.694538907458542
6,Sunday,13,21723,556762.88,25.630110021636053,3.127623716797864,13.711306756279827
6,Sunday,14,21724,596315.21,27.44960458479101,3.4481020990609466,14.742993156570305
6,Sunday,15,20954,586345.28,27.982498806910378,3.5645723966784386,15.107564983614903
6,Sunday,16,21237,610909.78,28.766293732636438,3.719465084522296,15.753495471739575
6,Sunday,17,20705,578144.27,27.92293021009418,3.6166848587297755,15.283832407631007
6,Sunday,18,19479,524898.36,26.946884336978282,3.3955747214949428,13.995573010250355
6,Sunday,19,16035,467420.31,29.15000374181478,3.9999413782351105,14.033282403076603
6,Sunday,20,14570,443135.89,30.414268359643103,4.151227179135209,13.497855181880576
6,Sunday,21,13784,438783.81,31.832835896691815,4.533410475914104,13.692673873089573
6,Sunday,22,11392,387809.9,34.04230161516854,5.053568293539326,14.191653499531837
6,Sunday,23,8789,303506.5,34.53254067584481,5.233083399704175,13.895450752834984
